"ano";"mes";"micro";"pequena";"media";"grande"
2005;7;"281,8763807";"220,37184386";"374,9581114";"3307,5923522"
2005;8;"328,24791263";"200,28405569";"323,84285433";"2130,0371642"
2005;9;"407,91142197";"154,27845124";"247,78780575";"3996,39417961"
2005;10;"492,413141910002";"169,82927304";"316,48790538";"8721,304459"
2005;11;"503,76937225";"165,96813276";"252,78480341";"4359,29444635"
2005;12;"458,40894827";"227,19827746";"502,72024804";"3412,7158374"
2006;1;"428,57360025";"201,09449577";"290,10371017";"1872,16886415"
2006;2;"352,92943557";"144,15243958";"262,15017607";"810,26432328"
2006;3;"470,90711244";"193,69373933";"296,65536701";"2955,91514907"
2006;4;"323,05042553";"136,70078124";"245,31395908";"3375,56612278"
2006;5;"332,658213540001";"167,33983783";"300,28955336";"1849,46226915"
2006;6;"410,88709697";"169,73486713";"288,53548162";"10356,24687097"
2006;7;"291,67580279";"230,26065314";"448,54034008";"3456,05359144"
2006;8;"305,95059037";"208,80074493";"534,29483065";"8173,60554912"
2006;9;"366,726106820001";"191,24696472";"406,06796112";"4864,56345974"
2006;10;"517,12757812";"212,15473929";"365,92615755";"7121,28590525999"
2006;11;"693,60986179";"204,86106448";"390,70178256";"7026,39759726"
2006;12;"514,653158610001";"312,56925578";"470,70144008";"10776,35338581"
2007;1;"488,43427883";"203,10412648";"361,35760413";"5865,32439459999"
2007;2;"409,3361182";"161,404836";"391,30897436";"1485,83722112"
2007;3;"605,19552444";"252,18876838";"460,24722634";"7161,85568308"
2007;4;"589,090409140001";"280,21189106";"491,81269481";"3566,50238614"
2007;5;"644,752653569999";"328,60690454";"593,47609563";"5956,855091"
2007;6;"693,520766700001";"329,30853972";"529,46620273";"6343,05595645"
2007;7;"379,84478356";"422,04356386";"842,29898993";"9880,37303580999"
2007;8;"435,568915050001";"325,95845989";"516,50279744";"4167,36413809"
2007;9;"473,866703399999";"293,30051607";"708,57833279";"4077,69171716"
2007;10;"640,093669340001";"486,23017454";"739,52028787";"7020,04987969"
2007;11;"576,709901400001";"320,55024438";"528,56600689";"7558,16284596"
2007;12;"548,49471245";"355,10956375";"945,129389479999";"18286,3620833"
2008;1;"581,25030437";"328,510759280001";"518,02888511";"2323,98469365"
2008;2;"511,698430720001";"285,17527061";"756,731335440001";"10276,86519802"
2008;3;"691,510211920001";"325,26589727";"501,37590928";"5814,72434574"
2008;4;"894,54110178";"375,55803616";"557,749909430001";"10175,95461243"
2008;5;"687,514358570001";"438,83927302";"777,04024111";"5415,49149369"
2008;6;"906,22879864";"448,29153085";"965,66118429";"6915,33532766"
2008;7;"549,191485780001";"526,88898824";"740,30459593";"4933,67888588"
2008;8;"382,612425749997";"495,90926264";"827,02447967";"6355,82687071"
2008;9;"586,820230999998";"629,31044998";"937,426844359999";"9057,7746541"
2008;10;"815,27808492";"505,568601460001";"710,07768885";"13613,19467066"
2008;11;"778,939688729999";"486,69122146";"667,63479403";"8309,51472209"
2008;12;"806,68356921";"624,49796011";"545,65940816";"16011,29009788"
2009;1;"633,435467199999";"333,77574949";"371,27299445";"2587,84966714"
2009;2;"610,437895119999";"268,74984455";"371,30546862";"10292,25051887"
2009;3;"855,413916990002";"428,82023296";"560,36074765";"2939,64730013"
2009;4;"858,244227290005";"449,76556757";"574,67357982";"7366,49496152"
2009;5;"796,318599170008";"390,97574663";"527,893879400001";"9565,10803287"
2009;6;"826,690726910005";"464,45108936";"778,98644828";"35114,06933991"
2009;7;"801,067301360002";"466,100870059998";"595,418211540001";"7641,37255435001"
2009;8;"708,757937870003";"483,16910722";"631,916944610001";"9936,26819577"
2009;9;"979,664918380009";"942,530402109998";"779,654225489999";"12156,15228498"
2009;10;"1376,78563965001";"750,683535790004";"954,55680369";"12629,86474237"
2009;11;"1683,61766106001";"821,931398480002";"1106,94947149";"8066,89610525"
2009;12;"1975,65672346001";"1103,66767188";"2023,08959145";"23591,7484921701"
2010;1;"1591,66502274001";"750,270449410002";"917,136432870001";"3930,08212997"
2010;2;"1736,63931471001";"850,998870100002";"1052,36261597";"3933,9019114"
2010;3;"1988,63016205";"883,355301480002";"1172,08458145";"10679,26790958"
2010;4;"1548,78028699";"795,381256960002";"1069,64187138";"10083,29343412"
2010;5;"2792,17737388002";"1568,14808281";"2146,3203764";"9110,2866644"
2010;6;"2262,62092355001";"1385,93613977";"2048,78319286";"21604,67941156"
2010;7;"1902,62632566001";"1120,40803056";"1312,00397951";"9999,13020676001"
2010;8;"2066,15411925003";"1086,72452102";"1525,34912525";"10223,94487189"
2010;9;"2248,75125450001";"967,850078399999";"1137,55885205";"34522,55089959"
2010;10;"2207,65612441003";"1017,3677103";"1296,74639092";"5872,40546309"
2010;11;"2440,42647821001";"1089,63697595";"1392,86877503";"6181,29654865"
2010;12;"2267,70992086001";"1187,02688768";"1396,78582995";"20299,40030383"
2011;1;"1674,18786314";"922,691555350002";"1112,86510896";"4259,56625122"
2011;2;"1883,95900051002";"980,14381135";"1288,53217785";"10603,99677093"
2011;3;"1635,65118286";"876,068252229999";"1034,14614931";"12477,40642304"
2011;4;"1652,07640493003";"846,96366437";"905,0826666";"5065,07854339"
2011;5;"1987,28463590002";"1074,73284404";"1218,11240402";"12143,32974598"
2011;6;"2110,87504055005";"1289,94458614";"1406,58240436";"6323,07175145999"
2011;7;"1962,92760263";"1102,62996345";"1265,04948933";"6060,95797429001"
2011;8;"2102,71189756002";"1137,73471557";"1506,57365044";"10744,23925342"
2011;9;"2196,50052437001";"1144,74218484";"1731,23031037";"13171,42590818"
2011;10;"2398,71422771006";"1321,65660386001";"1741,27869849";"6697,8900343"
2011;11;"2186,54215807004";"1171,44425466";"1359,58446272";"13728,34559945"
2011;12;"1956,03154337004";"1030,58999663";"1015,3022966";"10956,03275354"
2012;1;"1713,48715652002";"928,69288967";"880,659151410001";"4673,79217009"
2012;2;"1565,44680010002";"785,936202190002";"730,092011410002";"8551,44656421001"
2012;3;"1682,85734960002";"846,50616946";"965,76913343";"3646,93820933"
2012;4;"2050,80192973001";"1030,61964514";"1075,15308653";"4332,03405347999"
2012;5;"1999,69789757";"1034,30983563";"1069,88764695";"18979,84669171"
2012;6;"1882,08622777002";"1156,98659463001";"1216,17283893";"9860,96695804"
2012;7;"2079,69986115001";"1224,68134394";"1573,56609431";"14090,92284719"
2012;8;"2318,88137976005";"1562,90836667";"1917,14520143";"18014,7167684"
2012;9;"1734,00635159999";"934,537517610001";"1164,36905991";"10446,47944439"
2012;10;"2998,18408393998";"1732,87648413001";"2027,21154339";"19787,02155148"
2012;11;"3321,58817491003";"1843,61867163";"1942,36563073";"45061,30776478"
2012;12;"5271,50560687997";"3243,08666795001";"3947,86245453";"39170,43865398"
2013;1;"1927,50418007001";"1028,45465894";"1043,65209574";"7926,0343023"
2013;2;"1996,95724808";"982,580987740002";"992,846934840001";"9473,20084393"
2013;3;"2642,12335779999";"1585,64419285999";"1773,47210635";"14376,61274754"
2013;4;"2778,91380020997";"1405,47174225";"1678,99791136001";"7973,60680719"
2013;5;"2693,83838622999";"1552,20351812";"1553,00030237";"5540,86346268001"
2013;6;"2556,29658381";"1662,21797134";"1520,75400983";"18800,02587092"
2013;7;"2218,05353974995";"1173,60044829";"991,934347040003";"16071,25122443"
2013;8;"2544,00334540997";"1306,12504890999";"1391,0893071";"9225,1820081"
2013;9;"3150,35731757004";"1694,04335828";"1422,59987013";"18027,93580845"
2013;10;"2318,02962241997";"1137,95092878";"1534,37585191";"9327,81825204"
2013;11;"3844,37711938992";"2400,71725540999";"2077,89325183";"15401,26475007"
2013;12;"3335,56140724001";"2228,61301314001";"2366,83958470001";"38959,67932307"
2014;1;"2017,86180492002";"1108,66345188";"1167,18769056";"6914,61383511"
2014;2;"1773,32653399003";"933,003453429997";"989,436065940002";"8167,21510286"
2014;3;"2060,52162618003";"1148,77013452";"1575,73007214001";"11369,19625332"
2014;4;"2248,99240231004";"1226,58246153";"1085,88770805";"11543,69201727"
2014;5;"2304,68800770998";"1244,94488048";"1022,93097057";"5879,36211041998"
2014;6;"2477,63037823003";"1483,75855606";"1163,8376617";"15034,39285513"
2014;7;"2263,37473082004";"1461,72056159001";"1257,04741366";"10262,281391"
2014;8;"2314,53101313001";"1387,71486887";"1174,85214767";"11907,35448643"
2014;9;"2985,95054936996";"1662,54128705001";"1481,0523254";"7599,80710733999"
2014;10;"3228,08920892998";"1738,97547117999";"1896,10696042";"10414,95371063"
2014;11;"2955,70006714998";"1884,57985415001";"1486,9245152";"19248,49321332"
2014;12;"2883,94234952";"2253,55666943999";"2312,0647737";"22885,28299881"
2015;1;"892,389252160007";"383,48684642";"270,8916572";"1552,44150389999"
2015;2;"1237,58763976";"510,783088279998";"362,92118574";"3218,83794296999"
2015;3;"1866,63624592002";"802,975223549995";"702,681980090001";"9799,61389233002"
2015;4;"1996,86334066001";"968,866057239997";"824,353863210001";"4100,54059237999"
2015;5;"2048,01774178";"1157,78122865";"737,14707205";"1989,67750586"
2015;6;"1800,71670067999";"1058,30484397";"886,399329609999";"4248,5885385"
2015;7;"1411,20146519999";"812,598142999998";"779,116608780002";"11026,03386938"
2015;8;"1559,32322468001";"792,292505270002";"717,93725999";"4277,05610077999"
2015;9;"1724,39570062002";"844,812562890004";"769,411535999998";"6494,50267551999"
2015;10;"1630,67734613";"843,668866279999";"617,64753721";"4330,92957434"
2015;11;"1439,96234057";"790,779024330002";"776,931673819998";"6545,89468229"
2015;12;"2027,11116099002";"1382,64860601";"1400,45216041";"13084,5646419"
2016;1;"1035,24928797";"499,23579406";"333,49957778";"1944,09009001"
2016;2;"1001,71976348";"440,47456099";"324,105232290001";"3579,05941506"
2016;3;"1405,07299096999";"714,342187860004";"508,446505140001";"2317,88063587"
2016;4;"1348,77411368999";"564,628748990001";"470,35934428";"1646,9107132"
2016;5;"1247,68987622002";"641,128655719999";"852,274708449999";"14656,67455421"
2016;6;"1227,34860274";"680,696431449998";"884,37351336";"5181,63214517999"
2016;7;"738,078523289996";"551,651295050003";"557,147633709999";"2387,40152056"
2016;8;"1310,68674741001";"743,214092580001";"638,605647789999";"2563,26789904"
2016;9;"1436,46813179999";"702,641352379997";"496,66947266";"1361,53092251"
2016;10;"1186,3320226";"717,952969400001";"687,957594770002";"2963,93076434"
2016;11;"1168,56946639";"759,02279762";"696,062643330001";"4398,96322444"
2016;12;"1253,13860478";"993,48718214";"1083,15347491";"6326,12556744"
2017;1;"885,138667289999";"527,724699819999";"625,22164911";"2568,51113349001"
2017;2;"721,691899539998";"456,39834937";"567,603484849999";"2239,23957689"
2017;3;"1089,10066616";"740,402442249997";"912,896914709996";"3033,17157922"
2017;4;"806,455074820001";"624,410259689998";"1088,36006371";"1803,35363042"
2017;5;"1071,12288764";"721,100824350002";"1374,44813654";"2450,56340416"
2017;6;"922,200822399998";"732,914208069998";"1544,29184529";"6185,69970534"
2017;7;"336,887554039998";"599,419948829998";"1291,95606678";"3730,89613352"
2017;8;"613,110601329998";"785,785144459998";"1638,98130032";"2921,43726339"
2017;9;"554,176820049999";"761,082574019999";"1707,88864194";"1706,61453639"
2017;10;"635,315550669999";"934,976153520004";"1832,7202072";"1022,72964788"
2017;11;"553,538543309999";"847,834072610003";"1533,48575112";"2520,53487245"
2017;12;"871,506055740001";"1135,91204452";"3166,09518987";"9475,19107785999"
2018;1;"202,54920025";"384,161766010001";"1643,76658023";"2479,14362087"
2018;2;"342,653406550001";"547,45556768";"697,413038869999";"2669,65539767"
2018;3;"416,64272479";"862,93423097";"1321,57340327";"4353,95065599"
2018;4;"427,37783872";"760,027852079998";"1335,30160892";"1314,77626186"
2018;5;"527,40656764";"785,805603630001";"1408,93084525";"2798,13839884"
2018;6;"466,02463637";"913,26866797";"2008,620681";"1835,22241834"
2018;7;"464,631617249999";"822,326688159999";"1609,15595881";"679,10724572"
2018;8;"726,797557939997";"984,149231609999";"1531,93260338";"4979,55140356"
2018;9;"670,47289407";"1006,43717878999";"1844,60019124";"4003,61529132"
2018;10;"768,01361444";"1213,82772933";"1624,1807281";"10994,3641211"
2018;11;"592,904955139999";"901,227299269998";"1687,64444404";"6291,36593716"
2018;12;"554,723639089999";"1008,07712784999";"3751,60856977999";"15671,40761636"
2019;1;"337,27283417";"601,547680320001";"901,65015192";"491,72100866"
2019;2;"398,8098031";"663,880129110001";"989,980267570002";"1663,90644861"
2019;3;"281,03663921";"974,367229229999";"1168,91834702";"1577,02997332"
2019;4;"306,443558389999";"755,499194160002";"1261,59151827";"1173,90584326"
2019;5;"101,10682375";"372,989894099999";"1044,82108739";"706,17628677"
2019;6;"144,38831269";"410,524379000001";"1627,66576915";"620,07189529"
2019;7;"527,58279957";"723,729170439999";"853,231068469998";"789,63638343"
2019;8;"881,851128730001";"1240,48957781";"1261,79818287";"1135,93580678"
2019;9;"993,185775019998";"1447,82146964";"1017,00965983";"2191,80666419"
2019;10;"1039,00862115";"1440,94626604";"1104,6404498";"6529,80419117"
2019;11;"531,90381951";"852,619329679999";"860,28490641";"5814,52400439"
2019;12;"244,98644354";"637,8131325";"2830,64028569";"9550,18361516"
2020;1;"503,254543470001";"794,084175989999";"741,0388459";"485,63285866"
2020;2;"217,605254159999";"610,91276997";"571,614740960001";"406,32794651"
2020;3;"235,11231005";"782,00387868";"904,514922719999";"3252,59890612"
2020;4;"292,32725429";"953,33302533";"1947,90567239";"6314,18702998"
2020;5;"320,26322709";"1150,28772219";"1946,09217637";"389,05914014"
2020;6;"295,65278911";"875,391743700001";"2240,78580167";"6159,22105729"
2020;7;"939,160898730001";"1723,06049861";"5795,74442783";"926,48971949"
2020;8;"1245,70452123";"1812,85481765";"1843,70814349";"4359,19527118"
2020;9;"1301,10029571";"1952,82208824";"2152,3818652";"805,48237974"
2020;10;"489,037829550002";"1667,92969572";"1941,84514665";"3888,4627465"
2020;11;"386,119068309999";"870,919214940001";"1647,90377249";"6998,51240548"
2020;12;"206,74013223";"453,304534800001";"1315,3828816";"11619,48853801"
2021;1;"397,39339649";"946,883881040001";"953,268994939999";"1451,6203563"
2021;2;"164,03480564";"436,786345020001";"699,95763075";"1600,8671484"
2021;3;"191,25031618";"1018,35184451";"1087,12869281";"995,74138742"
2021;4;"217,30587932";"563,37289672";"1351,31920366";"3727,47919905"
2021;5;"154,12429941";"906,429268180001";"1090,28898723";"2764,42146676"
2021;6;"343,362690970001";"1203,83036488";"1615,14889104";"1872,4448782"
2021;7;"1254,39784489";"2259,60717381001";"1784,67156306";"4757,40019611"
2021;8;"1579,43445845";"2436,66398335";"2381,00823622";"1888,49654641"
2021;9;"826,767109559999";"1584,6993669";"1939,99691169";"4265,98548028"
2021;10;"524,57152888";"620,4629539";"1513,96189093";"2181,84165541"
2021;11;"409,73451118";"667,175916810001";"1503,55050542";"6754,21262798"
2021;12;"372,44580128";"747,13491855";"1612,03406476";"15542,22593048"
2022;1;"293,792792610001";"412,85983187";"826,21611114";"1182,58127708"
2022;2;"195,40289378";"571,39321596";"910,68761803";"1460,59289386"
